Country;BEV Fleet 2025 cars;BEV fleet share;Total fleet;;;
European Union;7608305;2,90%;262355344;;;
Austria;257717;4,88%;5281086;;;
Belgium;447937;7,30%;6136123;;;
Bulgaria;21545;0,68%;3168382;;;
Croatia;12605;0,62%;2033064;;;
Cyprus;3569;0,53%;673396;;;
Czech Rep.;57549;0,84%;6851071;;;
Denmark;540981;18,56%;2914768;;;
Estonia;10084;1,49%;676778;;;
Finland;164705;4,31%;3821461;;;
France;1543440;3,88%;39779381;;;
Germany;2034260;4,11%;49495377;;;
Greece;30789;0,50%;6157800;;;
Hungary;94009;2,15%;4372511;;;
Ireland;95123;3,76%;2529867;;;
Italy;372693;0,89%;41875617;;;
Latvia;11025;1,38%;798913;;;
Lithuania;19876;1,13%;1758938;;;
Luxembourg;39182;8,49%;461507;;;
Malta;9805;2,92%;335787;;;
Netherlands;680605;7,23%;9413623;;;
Norway;945182;32,86%;2876390;;;
Poland;102710;0,44%;23343181;;;
Portugal;243954;3,90%;6255230;;;
Romania;58322;0,67%;8704776;;;
Slovakia;18895;0,68%;2778676;;;
Slovenia;22563;1,75%;1289314;;;
Spain;281653;1,05%;26824095;;;
Sweden;432709;8,59%;5037357;;;
United Kingdom;1723533;4,99%;34539739;;;
